time,temperature,feels_like,app_temp,dew_point,humidity,wind_direction,wind_speed,wind_gust,pressure_relative,pressure_absolute,rainfall
2024-12-17,29.99375,31.289583333333336,32.79375,20.05,57.6875,134.33333333333334,2.9250000000000003,6.927083333333333,29.84125,27.971666666666668,0.0
2024-12-18,24.55217391304348,24.817391304347822,28.21521739130435,20.639130434782608,79.5,216.7173913043478,1.0978260869565215,2.834782608695652,29.899565217391302,28.030434782608697,17.5
2024-12-19,24.8,24.8,28.0,20.48333333333333,77.0,139.16666666666666,2.4,5.366666666666667,29.981666666666666,28.111666666666668,0.7
2024-12-20,,,,,,,,,,,0.0
2024-12-21,,,,,,,,,,,0.0
2024-12-22,,,,,,,,,,,0.0
2024-12-23,,,,,,,,,,,0.0
2024-12-24,20.575,20.575,23.375,19.2,92.0,167.5,1.675,4.525,30.0425,28.1725,3.9
2024-12-25,21.34444444444444,21.34444444444444,24.55925925925926,19.42222222222222,89.0,261.44444444444446,0.6148148148148148,2.05925925925926,30.03518518518519,28.16629629629629,0.0
2024-12-26,23.477083333333336,23.854166666666668,26.73958333333333,19.722916666666663,80.72916666666667,128.25,0.9708333333333332,2.3854166666666665,29.97145833333333,28.10229166666667,13.2
2024-12-27,27.160416666666663,28.49375,30.5,20.085416666666667,66.77083333333333,126.45833333333331,1.28125,3.177083333333333,29.85354166666667,27.984166666666667,0.0
2024-12-28,26.710416666666664,27.76458333333333,31.08125,22.02083333333333,77.04166666666667,214.91666666666663,1.1354166666666667,2.952083333333333,29.817291666666662,27.94833333333333,26.1
2024-12-29,24.29069767441861,24.65116279069768,28.827906976744185,22.2046511627907,88.44186046511628,164.1627906976744,0.8697674418604651,2.4,29.855116279069765,27.98581395348837,9.9
2024-12-30,23.576666666666664,23.576666666666664,28.313333333333333,22.4,93.13333333333334,220.8333333333333,0.58,1.6433333333333335,29.852666666666664,27.98333333333333,33.4
2024-12-31,27.88888888888889,30.13111111111112,32.5,22.433333333333334,74.13333333333334,158.2,1.0177777777777777,2.62,29.822666666666667,27.95311111111112,0.0
2025-01-01,29.6475,32.36,33.35,21.71,64.7,157.425,2.69,5.9725,29.79375,27.92475,60.0
2025-01-02,26.183333333333334,28.120833333333334,30.245833333333334,21.7375,78.04166666666667,180.8125,1.6333333333333335,4.177083333333333,29.854166666666668,27.985625,27.4
2025-01-03,27.075,28.558333333333334,31.254166666666663,21.94375,75.20833333333333,100.02083333333331,1.525,3.8625,29.88416666666667,28.015833333333333,0.4
2025-01-04,28.5625,30.60833333333333,32.7625,22.00625,69.3125,90.72916666666669,1.59375,3.7395833333333335,29.817083333333333,27.947916666666668,0.0
2025-01-05,30.20625,32.94166666666667,34.170833333333334,21.941666666666663,63.25,106.5,2.2270833333333333,5.127083333333333,29.69833333333333,27.829375,5.6000000000000005
2025-01-06,29.164583333333336,31.620833333333334,33.24375,21.789583333333336,66.02083333333333,196.6875,1.6333333333333335,4.03125,29.7175,27.848541666666662,0.0
2025-01-07,28.625,31.235416666666666,33.197916666666664,22.68958333333333,71.6875,145.70833333333334,1.5604166666666668,3.7291666666666665,29.72833333333333,27.858958333333334,17.3
2025-01-08,28.19375,30.71875,32.36875,22.17708333333333,72.45833333333333,143.64583333333334,1.9770833333333333,4.960416666666666,29.704166666666666,27.83520833333333,38.8
2025-01-09,23.40625,23.48958333333333,27.072916666666668,21.4125,89.02083333333333,137.04166666666666,2.3291666666666666,5.04375,29.77958333333333,27.909791666666667,63.8
